search_id,year,period,search,search_word,search_tag,query_id
1,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,,incl,1
2,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,generalizability,grp1,2
3,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,transportability,grp1,3
4,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,transferability,grp1,4
5,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,intended context,grp2,5
6,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,designated context,grp2,6
7,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,planned context,grp2,7
8,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,intended setting,grp2,8
9,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,designated setting,grp2,9
10,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,planned setting,grp2,10
11,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,intended use,grp2,11
12,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,designated use,grp2,12
13,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,planned use,grp2,13
14,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,intended usage,grp2,14
15,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,designated usage,grp2,15
16,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,planned usage,grp2,16
17,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,intended utilization,grp2,17
18,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,designated utilization,grp2,18
19,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,planned utilization,grp2,19
20,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,intended application,grp2,20
21,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,designated application,grp2,21
22,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,planned application,grp2,22
23,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,intended implementation,grp2,23
24,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,designated implementation,grp2,24
25,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,planned implementation,grp2,25
26,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,external validation,grp3,26
27,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,temporal validation,grp3,27
28,2021,"((""2021/01/01""[Date - Publication] : ""2021/12/31""[Date - Publication]))",,methodological validation,grp3,28
